MovieNames,MovieRatingCritic,MovieReviews
Angrezi Medium ,3.5 ,"यह कहानी है राजस्थान में रहने वाले चंपक की (इरफान खान) चंपक राजस्थान के मशहूर हलवाई घसीटाराम के पोते हैं। और घसीटाराम के नाम का इस्तेमाल करने के लिए एक लंबा चौड़ा खानदान आपस में लड़ाई कर रहा है और मजे की बात यह है की लड़ाई सिर्फ कानूनी चल रही है मगर आपस में सभी का प्यार बरकरार है। चंपक ने अपनी बेटी तारिणी (राधिका मदान) को बचपन से अकेले ही पाल पोस कर बड़ा किया है। तारीणी का सपना है ब्रिटेन में जाकर पढ़ना और उसके लिए चंपक कई पापड़ बेलता है, और इसमें उसका साथ देता है उसका चचेरा भाई घसीटाराम बंसल (दीपक डोबरियाल)। क्या चंपक अपनी बेटी को लंदन ले जा पाएगा? क्या तारीणी का सपना पूरा होगा ? इसी ताने-बाने से बुनी गई है फिल्म अंग्रेजी मीडियम।निर्देशक होमी अदाजानिया ने बाप बेटी के रिश्ते को बड़ी ही खूबसूरती के साथ पर्दे पर उतारा है वहीं दूसरी तरफ आपस में कानूनी लड़ाई लड़ रहे दीपक डोबरियाल और इरफान खान की केमिस्ट्री को भी बेहतरीन ढंग से पेश किया है। इरफान खान, दीपक डोबरियाल और किकू शारदा की बचपन की दोस्ती रिश्तों की एक अलग मिसाल पेश करती है। जिस तरह से होमी ने अंग्रेजी मीडियम को रिश्तों के मेटाफर से जोड़ा है वह सराहनीय है।इरफान खान चंपक जैन के किरदार में पूरी तरह से छा जाते हैं। उनको पर्दे पर देखना सुखद है। दीपक डोबरियाल उनका साथ पूरी तरह से देते हैं। राधिका मदान अपनी अभिनय क्षमता अपनी पहली ही फिल्मों में साबित कर चुकी है यह किरदार एक बार फिर से उनकी अभिनय क्षमता को बयान करता है। किकू शारदा गिने-चुने कॉमेडियंस में से हैं जो उम्दा अभिनय भी करते हैं। उनके बाकी साथी कॉमेडियन अपन कमजोर अभिनय का परिचय अलग-अलग फिल्मों में दे चुके हैं।एक लंबे समय के बाद डिंपल कपाड़िया को बड़े पर्दे पर देखना एक सुखद अनुभव रहा उनका सहज अभिनय उनकी खासियत है। करीना कपूर का हिस्सा कुछ ज्यादा था नहीं, मगर जिसके लिए उन्हें रखा था उसकी जवाबदारी उन्होंने पूरी तरह से निभाई। कुल मिलाकर यह कहा जाए तो गलत नहीं होगा की ‘अंग्रेजी मीडियम’ ‘हिंदी मीडियम’ जितनी सशक्त तो नहीं मगर बाप बेटी-भाई, भाई-भाई और दोस्तों की भावनाओं की यात्रा है जो आपके दिल को छू लेती है। अपनी बीमारी से लड़ते लंबे समय के बाद पर्दे पर आने वाले इररफन खान के लिए ये फ़िल्म देखना तो बनता ही है।"
Baaghi 3 ,3,"उसी कड़ी में बागी 3 शुमार है।  यह कहानी है दो भाइयों रॉनी ( टाइगर श्रॉफ) और विक्रम ( रितेश देशमुख) की। कास्टिंग से ही जाहिर है रॉनी बहुत शक्तिशाली है और अपने भाई से बहुत प्यार करता है। विक्रम थोड़ा कमजोर है और थोड़ा बुजदिल भी और इसीलिए रॉनी अपने भाई के लिए हर मुश्किल में ढाल बनकर खड़ा होता है।रॉनी की बहादुरी के चलते विक्रम को पुलिस में नौकरी मिल जाती है और विक्रम रॉनी की मदद से ही एक बहादुर पुलिस ऑफिसर के तौर पर जाना जाने लगता है। पुलिस डिपार्टमेंट विक्रम को सीरिया में कुछ इंक्वायरी करने के लिए भेजता है, मगर वहां विक्रम के लिए मुश्किलों का पहाड़ खड़ा हो जाता है और उसे छुड़ाने के लिए रॉनी जा पहुंचता है।यही कहानी है 'बागी 3' की। 'बागी 1' और 'बागी 2' की सफलता के बाद इस फ़िल्म में भी भरपूर एक्शन और रोंगटे खड़े कर देने वाले दृश्यों को पिरोया गया है। लार्जर देन लाइफ एक्शन को निर्देशक अहमद खान ने बड़ी खूबसूरती के साथ पर्दे पर उतारा है।एक सक्सेसफुल कमर्शियल फिल्म की खासियत यही होती है कि दर्शकों को पता होता है कि नायक जीतने वाला है और उसके बावजूद भी पूरी उत्सुकता से कुर्सी पर जमे रहते हैं। इसमें अहमद खान पूरी तरह से सफल होते हैं। टाइगर श्रॉफ ने जिस तरह के स्टंट और एक्शन फिल्में किए हैं, वह वाकई हैरतअंगेज है।इस फिल्म से एक खास बात और नजर आती है कि कई सारे इमोशनल सींस में भी टाइगर श्रॉफ कहीं ज्यादा बेहतर नजर आ रहे हैं। रितेश देशमुख एक समर्थ अभिनेता हैं। वह अपनी जगह हर कहीं तलाश लेते हैं। विक्रम के किरदार में उनसे बेहतर कुछ हो नहीं सकता। बाकी सारे किरदार, भले ही वो श्रद्धा कपूर हों या अंकिता लोखंडे, उन्हें फॉर्मेलिटी के तौर पर रखा गया है, जिनका होना ना होना फिल्म पर कोई फर्क नहीं डालता। कुल मिलाकर बागी 3 कमर्शियल जोन की एक सफल फिल्म है, जिसमें भरपूर मनोरंजन सफल रूप से दर्शकों को परोसा गया है। आप इसका आनंद सपरिवार ले सकते हैं।"
Doordarshan ,3 ,"यह कहानी है दिल्ली में रहने वाले एक मध्यमवर्गीय परिवार की जिसमें माता (माही गिल)और पिता( मनु ऋषि चड्ढा) मनमुटाव के चलते अलग-अलग रहते हैं। इस बीच सालों से कोमा में पड़ी दादी( डॉली अहलूवालिया) होश आ जाता है| डॉक्टर कहता है की दादी को पता ना पड़े कि वह सालों के बाद होश में आई है इससे उसे सदमा लग सकता है| ऐसे में 1990 का माहौल पूरे में खड़ा किया जाता है इसके बाद क्या-क्या होता है, यही कहानी है फिल्म 'दूरदर्शन' की है।फिल्म में जिस जनरेशन ने 'दूरदर्शन' देखा है उनके लिए यादों को ताजा करने का मौका तो है ही साथ ही इस दौरान बदलती हुई संस्कृति परंपरा और सामाजिक रिश्तो में जिस तरह का बदलाव आया है उसे बखूबी दर्शाया गया है!फिल्म मैं अभिनय की अगर बात करें तो मनु ऋषि और माही गिल की केमिस्ट्री देखने लायक है। मनु ऋषि खुद एक लेखक है इसलिए किरदार को पकड़ना वह बेहतर ढंग से जानते हैं। अपने किरदार पर कई बारीक काम करके उसे सशक्त बनाया है। वहीं दूसरी ओर माही गिल भी एक सशक्त कलाकार हैं। प्रिया और बिल्लो दोनों ही किरदारों उन्होंने अपनी जान फूंक दी है। इसके अलावा राजेश शर्मा, डॉली अहलूवालिया, सुप्रिया शुक्ला, मेहक मनवाणी, सुमित गुलाटी जैसे कलाकार अपनी उपस्थिति दर्ज कराते हैं।कुल मिलाकर यह कहा जाए तो गलत नहीं होगा की 'दूरदर्शन' कोई महान फिल्म नहीं है। उसमें कई कमियां भी है बावजूद इसके यह फिल्म आपको कल की मिठास आज का मनोरंजन जरूर देती है। आपको सोचने पर मजबूर कर देती है कि आधुनिकता की जिस रफ्तार में हम चल रहे हैं उसमें हमने क्या खोया क्या पाया।रेटिंग : 3 स्टार्स"
Cookie ,3 ,"मगर बड़ी लड़की कुकी(विभूति शर्मा) को लगता है कि उसके मां-बाप उसकी छोटी बहन से ज्यादा प्यार करते हैं और इसीलिए कहीं ना कहीं गुस्से की वजह से पागल भी होती रहती है उसे लगता है की छोटी बहन के कारण उसे मां बाप का प्यार नहीं मिल पाता इसलिए अपनी मां से नफरत भी करती है, और 1 दिन गुस्से में वह अपना घर छोड़ देती है आज रात में उसके साथ क्या होता है और कैसी आगे फिल्म बनती है इसी ताने-बाने पर बुनी गई है फिल्म ‘कुकी’।‘कुकी’ पिछले हफ्ते आई कारण जोहर की ग्रैंड फ़िल्म ‘भूत’ से कई मायनों में बेहतर फ़िल्म है। इस फ़िल्म में हॉरर तो है ही साथ-साथ इमोशन भी भरपूर है, कहानी है और कहानी में न्योण भी है। जो आपको लगातार बंधे रखती है। निर्देशक ललित मराठे ने जिस तरह से कहानी को आगे बढ़ाया है, स्क्रीनप्ले लिखा है वो बहुत खर्चीला नहीं है। ढेर सारे इफेक्ट्स की बरसात नहीं है। मगर एक्टर्स के बल पर ललित हॉरर पैदा करने में कामयाब हो जाते हैं। ये संभवतः भारतीय सिनेमा की पहली फ़िल्म होगी जिसमें भूत और उसका हॉरर दिन के समय पैदा किया गया। लगभग 60 % हॉरर सीन्स दिन में शूट किए गए हैं। ये एक साहसी और अनोखा प्रयास है।जहां तक अभिनय की बात है मां बनी रीना वाधवा बाजी मार ले जाती हैं। उन्होंने दमदार अभिनय किया है। वहीं विभूति शर्मा ने भी अपनी उपस्थिति दर्ज कराई है। पिता बने राजीव गुप्ता का प्रदर्शन असरहीन रहा। कुल मिलाकर ‘कुकी’ एक ऐसी फिल्म है जो हॉरर के चाहने वालो को जरूर पसंद आएगी। अगर आप पिछले हफ्ते रिलीज़ भव्य फ़िल्म ‘भूत’ से निराश हुए हैं तो आप कुकी देख सकते हैं।रेटिंग : 3 स्टार "
Thappad ,4 ,"अनुभव सिन्हा अपने कायाकल्प के बाद जिस तरह का सिनेमा बना रहे हैं वह वाकई तारीफे काबिल है! उनकी फिल्म ‘थप्पड़’ का शुमार अच्छे सिनेमा में जरूर होगा। मात्र एक विचार है शादीशुदा जिंदगी में कोई पति अपनी पत्नी को किसी भी कारण से किसी भी परिस्थिति में ‘थप्पड़’ मारने का हक नहीं रखता।अमूमन भारतीय समाज में पति अगर अपनी पत्नी को मार दे तो ना सिर्फ उसके सास-ससुर बल्कि लड़की के मां-बाप भी यह कहते नजर आते हैं कि पति पत्नी में थोड़ा बहुत लड़ाई झगड़ा तो चलता रहता है। और ‘थप्पड़’ यह कहती है कि कभी भी थप्पड़ मारना सही नहीं है, इसका अधिकार पति को नहीं है। थप्पड़ मारना न सिर्फ नैतिक रूप से गलत है बल्कि कानून भी गलत है।इस विचार को निर्देशक अनुभव सिन्हा और उनकी सह लेखिका मृण्मई लागू ने बहुत ही खूबसूरती के साथ न सिर्फ कहानी में गढ़ा, बल्कि पटकथा और संवादों के माध्यम से दर्शकों को यह समझाने का सफलतम प्रयास किया कि आखिर गलत कहां है। फिल्म देखने के बाद सारे मर्दों को इस बात का एहसास होगा, साथ ही शर्मिंदगी भी... जाने अनजाने कैसे सदियों पुराना पुरुष जो हमारे भीतर बसा हुआ है गलतियां करता है और उन गलतियों का एहसास तक हम लोग नहीं कर पाते।थप्पड़ अपने समय की बहुत महत्वपूर्ण फिल्म है इसे देखा जाना बहुत जरूरी है। तापसी पन्नू वैसे ही एक समर्थ अभिनेत्री हैं मगर ‘थप्पड़’ में उनका एक अलग ही आयाम सामने आया है अभिनय कि जिन ऊंचाइयों को वह छूती हैं उस उच्च स्तर पर वह अभी तक नहीं गई थीं।उनके पति का किरदार निभा रहे पावेल ने अपनी पहली ही फिल्म से साबित कर दिया वह एक समर्थ कलाकार हैं। किरदार में कई सारी परतें थीं वह एक ऐसे पति का का किरदार निभा रहे हैं जो पॉजिटिव होते हुए भी गलत है और वह कहां गलत है इस बात का एहसास उसे नहीं है। इसे पर्दे पर उतारना वाकई मुश्किल काम था जो पावेल ने पूरी कुशलता से किया है। इसके अलावा दिया मिर्जा की मौजूदगी दृश्य को और मजबूत बना देती है। कुमुद मिश्रा रत्ना पाठक शाह जैसे कलाकार फिल्म को नई ऊंचाइयां देते हैं। उल्लेखनीय परफॉर्मन्स रहा काम वाली बनी गीतिका विद्या का। कुल मिलाकर ‘थप्पड़’ आज के दौर की एक महत्वपूर्ण फ़िल्म है जिसे देखना वाकई आपको एक अलग अनुभव देगा।रेटिंग : 4 स्टार्स"
Bhoot Part 1 The Haunted Ship ,1,"हॉन्टेड शिप देखकर आपको कदम-कदम पर रामसे ब्रदर्स की फिल्में याद आती हैं। इस फिल्म में ऐसा कुछ भी नहीं ग्राफिक्स के सिवा, जो इसे रामसे ब्रदर्स को हॉन्टेड शिप से अलग करता हो। यह कहानी है पृथ्वी (विकी कौशल) की जो एक शिपिंग ऑफिसर है। उसकी बीवी (भूमि पेडणेकर) और बेटी की मौत पानी में डूबने से हो गई है, जिसके लिए वो ख़ुद को ज़िम्मेदार मानता है। ये दोनों कभी-कभी उसको दिखते भी हैं, जो मेडिकल साइंस की भाषा में भ्रम माना जाता है। मुंबई के समुद्र तट पर खाली जहाज आ जाता है और धीरे-धीरे पता चलता है कि यह जहाज हॉन्टेड है। पृथ्वी का एनकाउंटर उस भूत से होता है। पृथ्वी को मारता नहीं है और फिल्म के अनुसार भूत पृथ्वी को इसलिए नहीं मारता क्योंकि पृथ्वी से उससे और भी काम करवाना है।ऐसी कुछ उलझन भरी फिल्म है। फिल्म में हॉरर के नाम पर कुछ भी नहीं है। यहां तक कि क्लाइमैक्स में भी आपको भारतीय टेलीविजन के कुछ शो और रामसे ब्रदर्स की कुछ फिल्में याद आती हैं। आज के दौर में जब दुनिया भर का सिनेमा हमारे मोबाइल में है। ऐसे में ऐसी बचकानी फिल्म बनाना वाकई हास्यास्पद है। खासकर जब इसके पीछे करण जौहर हों।खास तौर पर एहतियात बरतना चाहिए कि भले ही वह छोटी फिल्मों को सपोर्ट करें, मगर कांटेक्ट लेवल पर ऐसी फिल्में ना करें, जिससे धर्मा प्रोडक्शंस की ब्रांड इमेज को नुकसान हो। कुल मिलाकर भूत एक बचकानी फिल्म है इसे आप छोड़ भी सकते हैं। वर्डिक्ट- * (एक स्टार)"
Shubh Mangal Zyada Saavdhan ,4 ,यह कहानी है बनारस में रहने वाले त्रिपाठी परिवार की जो एक मध्यमवर्गीय संयुक्त परिवार है। जिसमें अमन की परवरिश हुई है और ऐसे में अमन को हो जाता है कार्तिक से प्यार! और जब यह बात घरवालों को पता चलती है तो पूरा परिवार पूरी तरह से हिल जाता है। इसके बाद क्या होता है यही कहानी है शुभ मंगल ज्यादा सावधान की।निर्देशक हितेश केवल ले ने इस संवेदनशील मुद्दे को खूबसूरती के साथ मनोरंजन देते देते समझाया है। उनकी पकड़ फिल्म के हर दृश्य में साफ नजर आती है। यह फिल्म बनाना अपने आप में बहुत ही चुनौतीपूर्ण था जिसमें हितेश पूरी तरह से सफल हुए हैं। जिस तरह से उन्होंने यह फिल्म की कहानी स्क्रीनप्ले और संवाद लिखे हैं वह काफी फुलप्रूफ थे।पिता के किरदार में गजराज राव अभिनय की एक अलग ऊंचाई छूते हैं वहीं नीना गुप्ता उनका साथ देने में कहीं पीछे नहीं रहतीं। आयुष्मान खुराना जैसे सितारे समाज के इस दबे छुपे सब्जेक्ट पर काम करने के लिए तैयार हो गए इसके लिए वह बधाई के हकदार हैं। कार्तिक के किरदार में उन्होंने जिस तरह से परफॉर्म किया है वह सलामी के हकदार हैं! अमन के किरदार में जीतू कुमार भी आपका दिल छू लेते हैं।कुल मिलाकर शुभ मंगल ज्यादा सावधान एक ऐसी ऐतिहासिक फिल्म है जो न सिर्फ इन संवेदनशील मुद्दे पर बात करती है साथ ही साथ आपका मनोरंजन करती है। आपको एजुकेट करती है हालांकि सेंसर बोर्ड ने इसे ए सर्टिफिकेट दिया है मगर प्रकृति प्रदत विषय पर पूरे समाज को शिक्षित होना आवश्यक है जो शायद समय के साथ साथ ही संभव हो पाएगा!रेटिंग : 4 स्टार 
Love Aaj Kal ,3,"दुनिया भर की सारी किताबें, कहानियां और फिल्में प्यार पाने और प्यार होने और प्यार खोने पर ही आधारित हैं। इम्तियाज अली की लव आज कल 2 भी यही बात कहती है। यही बात उन्होंने लव आज कल में भी कही थी, जो लव आज कल 2 में कह रहे हैं। फिल्म की कहानी दो स्तरों पर चलती है। 2020 की एक मॉडर्न लड़की है जोई (सारा अली खान)। उसकी ज़िंदगी का मकसद अपना करियर बनाना है, लेकिन इस बीच-बीच में मौज-मस्ती और ज़िंदगी जीने से भी उसे परहेज नहीं।वह प्यार में नहीं पड़ना चाहती, उसके प्यार में पड़ जाता है वीर। वीर का मानना है कि प्यार चाहिए तो 100% चाहिए। वरना नहीं चाहिए। और इन दो अलग-अलग लोगों के बीच प्यार कैसे-कैसे रंग दिखाता है? दूसरे स्तर पर 1990 की लीना और रघु की कहानी है। वहां भी बेइंतहा प्यार है। लेकिन उस प्यार को खोने का चुभता एहसास भी है। एक पीढ़ी में प्यार को पाने और खोने में क्या-क्या गल्तियां कीं, उनका प्यार को टैकल करने का अंदाज कहां चूक गया। यही दोनों स्तरों की कहानियां लव आज कल 2 में साथ साथ चलती रहती हैं।इम्तियाज अली भले ही सुलझे हुए डायरेक्टर हैं। मगर इस फिल्म के साथ वह खुद को सिर्फ दोहरा रहे हैं। फिल्म इंटरवल तक स्क्रीनप्ले लेवल पर थोड़ी कमजोर साबित होती है। वहीं, क्लाइमेक्स में आकर मन वांछित भाव जगाने में भी कम सफल होती है। अभिनय की बात करें तो कार्तिक आर्यन जिस तरह के फिल्मों के अभिनेता रहे हैं। उन सारी फिल्मों से यह फिल्म एकदम अलग है।कार्तिक आर्यन ने इस फिल्म में साबित कर दिया कि किरदार चाहे कैसा भी हो वह उसे अपना बना लेंगे। अभिनेता के तौर पर यह कार्तिक के लिए बहुत बड़ा टर्निंग प्वाइंट साबित होगी। सारा अली खान रियल लाइफ़ में जिस तरह की हैं, जोई का किरदार बिल्कुल वैसा ही है। कुछ दृश्यों में वह कमाल करती नज़र आती हैं। रघु के किरदार में रणदीप हुड्डा प्रभावित करते हैं।अगर यह कहें तो गलत नहीं होगा, लव आज कल 2 कोई महान फिल्म नहीं है। मगर एक बार जरूर देखी जा सकती है। फिल्म समझने के लिए थोड़ा दिमाग का इस्तेमाल ज़रूर करना पड़ेगा। अगर आपने लव आज 2 कल नहीं देखी है तो निश्चित तौर पर आपको एक अलग अनुभव जरूर हासिल होगा।"
Malang , 3.5,"निर्देशक मोहित सूरी की फिल्म मलंग कुछ ऐसी ही फिल्म है और कमर्शियल स्पेस में यह अपने आप में मनोरंजक फिल्म है।इस फिल्म में इमोशन है, रोमांस है, एक्शन है और थ्रिल है। फिल्म की कहानी अद्वैत और सारा की है, जो संयोग से एक दूसरे से गोवा में मिलते हैं। दोनों का जिंदगी में अलग लक्ष्य है। दोनों का रिश्तों से विश्वास उठा हुआ है। इसलिए दोनों तय करते हैं कि बस जिंदगी में मौज मस्ती करेंगे, मगर परिवार नहीं बनाएंगे। इसी के साथ ही इन दोनों की जर्नी शुरू हो जाती है। लेकिन क्या इंसानी जिंदगी में यह संभव है? आगे किस तरह की परेशानियों का सामना इनको करना पड़ता है? क्या इन दोनों के बीच प्यार रहता है? इसी धागे से बुनी गई है फिल्म मलंग।निर्देशक मोहित सूरी ने बड़ी कुशलता से इमोशन, एक्शन, रोमांस, रहस्य और ग्लैमर का तड़का मलंग में लगाया है। रिवेंज ड्रामा में बेहतरीन स्क्रीनप्ले, मजबूत। संवाद फिल्म को धमाकेदार मसालेदार बनाता है। फिल्म के कलाकारों में अनिल कपूर इंस्पेक्टर आगाशे की भूमिका में कमाल करते हैं। अपने किरदारों की लेयर्स पर वह बेहतरीन ढंग से काम करते हैं।अद्वैत की भूमिका में आदित्य राय कपूर के लिए यह एक कमर्शियल स्पेस का अलग ही किरदार था, जिसे अभी तक आदित्य ने नहीं निभाया था मगर उन्होंने पूरी सफलता के साथ इसे निभाया। सारा के किरदार में दिशा पटानी ग्लैमरस लगने के साथ-साथ दर्शकों का प्यार हासिल करने में कामयाब होती है। कुणाल खेमू वैसे ही एक सशक्त अभिनेता है, लेकिन उन्हें अपने तरह के किरदार कम ही मिलते हैं। इस फिल्म से उन्होंने एक बार फिर दिखा दिया कि वह किस दर्जे के कलाकार हैं। फिल्म का कैमरा वर्क उम्दा है। फिल्म की एडिटिंग सटीक है।इलेक्शन वैल्यू ग्रैंड होने की वजह से दर्शक मंत्रमुग्ध हो जाता है। फिल्म के गाने और बैकग्राउंड स्कोर दोनों ही फिल्म को पूरी तरह से फिल्म को सपोर्ट करते हैं। कुल मिलाकर मलंग कमर्शियल जोन की एक मनोरंजक फिल्म है, जिसका आनंद आप उठा सकते है। चुंकि फिल्म को एडल्ट सर्टिफिकेट मिला है तो आप बच्चों का साथ नहीं ले जा सकते।स्टार्स- 3.5"
Shikara , 4.5,"यह कहानी है शिव और शांति की, जो कश्मीर में रह रहे सीधे-साधे कश्मीरी पंडित हैं। उनकी अपनी एक अलग ही दुनिया है, जिसमें ये प्यार मोहब्बत से रह रहे हैं। इनके लिए कश्मीर उतना ही है, जितना सबका। कहानी साल 1989 की है और इस वक्त कश्मीर की खूबसूरत वादियों में आतंकवाद पैर फैला रहा होता है। इसी दौरान लाखों कश्मीरी पंडितों को घाटी से बाहर किया जाता है, इसमें शिव और शांति भी शामिल हैं, जिन्हें अपना आशियाना छोड़कर रिफ्यूजी कैंप में जाना पड़ा।इस दौरान उन्होंने किस तरह तमाम दर्द और पीड़ा झेलते हुए खूबसूरती से जिया..यही कहानी है फिल्म शिकारा की। निर्देशक विधु विनोद चोपड़ा ने जिस तरह से अपनों से बिछड़ने के दर्द और अपने बसे बसाए आशियाने छोड़ने की पीड़ा और एक प्रेम की दास्तां को सुनहरे पर्दे पर रंगा है। ऐसा लगता है कि जैसे ये सब आप के ही साथ हो रहा हो।इस फिल्म की महानता यही है कि कहानी के चरित्र भी धार्मिक उद्वेग का शिकार हैं, मगर फिल्म के अंत तक मानवीय संवेदनाएं सबसे प्रमुख हो जाती है। निश्चित ही...इसके लिए विधु विनोद चोपड़ा बधाई के हकदार हैं। फिल्म भले ही कश्मीर की कहानी कहती हो, लेकिन इसका असर सार्वभौमिक है। अगर अभिनय की बात करें तो आदिल और सादिया दोनों ही अपनी लॉन्चिंग फिल्म के साथ जाने अनजाने ही सही अभिनय की उस अवस्था पर पहुंच गए हैं, जहां पहुंचना सभी के बस की बात नहीं होती।हो सकता है उनकी आने वाली फिल्मों में शायद यह उत्कृष्टता देखने को ना मिले। हालांकि, शिव और शक्ति के किरदार में उन्होंने जो किया है, उसकी तलाश उन्हें जिंदगी भर रहेगी। प्रोडक्शन डिजाइन इतनी खूबसूरती से किया गया है कि उसकी जितनी तारीफ की जाए, उतनी कम है। रंगराजन राम भदरण का कैमरा वर्क फिल्म को एक अलग ऊंचाइयों पर ले जाता है। फिल्म का संगीत और फिल्म के गीत अपना मजबूत असर छोड़ते हैं।कुल मिलाकर यह कहा जाए तो गलत नहीं होगा कि एक लंबे अरसे के बाद बॉलीवुड ने सही मायने में एक ऐसा सिनेमा गढ़ा है, जो विश्व सिनेमा की श्रेणी का है। यह फिल्म जरूर देखी जानी चाहिए और सपरिवार देखना चाहिए ताकि बच्चों पर इंसानियत के संस्कार पड़े। आप अपने इतिहास से रूबरू हो सके भले ही वह कितना ही काला क्यों ना हो।स्टार्स- 4.5"
